2026-01-15 02:48:38 | INFO     | copybot | 📡 Monitor started in LIVE mode
2026-01-15 02:48:38 | INFO     | copybot | 👀 Watching wallet: 0x63ce342161250d...
2026-01-15 02:48:38 | INFO     | copybot | ⏳ Capturing existing trades (will ignore)...
2026-01-15 02:48:38 | INFO     | copybot | 🔗 Connecting to wss://ws-subscriptions-clob.polymarket.c...
2026-01-15 02:48:38 | INFO     | copybot | 🔌 WebSocket client starting...
2026-01-15 02:48:38 | WARNING  | copybot | ⚠️ py-clob-client not installed. Run: pip install py-clob-client
2026-01-15 02:48:38 | INFO     | copybot | Trade Executor started
2026-01-15 02:48:38 | ERROR    | copybot | WebSocket error: server rejected WebSocket connection: HTTP 404
2026-01-15 02:48:38 | INFO     | copybot | Reconnecting in 1.0s...
2026-01-15 02:48:39 | INFO     | copybot | ✅ Captured 50 existing trades - will ignore them
2026-01-15 02:48:39 | INFO     | copybot | 🎯 Now watching for NEW trades only...
2026-01-15 02:48:39 | INFO     | copybot | 🔗 Connecting to wss://ws-subscriptions-clob.polymarket.c...
2026-01-15 02:48:40 | ERROR    | copybot | WebSocket error: server rejected WebSocket connection: HTTP 404
2026-01-15 02:48:40 | INFO     | copybot | Reconnecting in 2.0s...
2026-01-15 02:48:42 | INFO     | copybot | 🔗 Connecting to wss://ws-subscriptions-clob.polymarket.c...
2026-01-15 02:48:42 | ERROR    | copybot | WebSocket error: server rejected WebSocket connection: HTTP 404
2026-01-15 02:48:42 | INFO     | copybot | Reconnecting in 4.0s...
2026-01-15 02:48:42 | INFO     | copybot | 🔌 WebSocket disconnected
2026-01-15 02:48:42 | INFO     | copybot | Trade Executor stopped
2026-01-15 02:55:08 | INFO     | copybot | 📡 Monitor started in LIVE mode
2026-01-15 02:55:08 | INFO     | copybot | 👀 Watching wallet: 0x63ce342161250d...
2026-01-15 02:55:08 | INFO     | copybot | ⏳ Capturing existing trades (will ignore)...
2026-01-15 02:55:08 | INFO     | copybot | 🔌 WebSocket client starting...
2026-01-15 02:55:08 | INFO     | copybot | 🔗 Connecting to user channel...
2026-01-15 02:55:08 | WARNING  | copybot | ⚠️ py-clob-client not installed. Run: pip install py-clob-client
2026-01-15 02:55:08 | INFO     | copybot | Trade Executor started
